file_name,sentiment category,sentiment degree,intention detection,offensiveness detection,metaphor occurrence,metaphor category,target domain,source domain,target modality,source modality
image_0.jpg,4(sorrow),2(moderately),4(offensive),1(slightly),1,complementary,you,seal,text,image
image_1.jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),1,text dominant,Saturday,caturday,text,complementary
image_10.jpg,2(love),1(slightly),2(expressive),0(non-offensive),1,complementary,me;food,cat;candle,text,image
image_100.jpg,4(sorrow),1(slightly),4(offensive),1(slightly),1,complementary,knowledge,book,text,image
image_101.jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),1,complementary,knowledge,book,text,image
image_102.jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),1,complementary,knowledge,iceberg,text,image
image_103.jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),1,complementary,the French Army;Russian,man;Pepsi,text,image
image_104.jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),1,complementary,knowledge,book,text,image
image_105.jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),1,complementary,knowledge,book,text,image
image_106.jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),1,complementary,me;knowledge;everyone else,man;drink;man,text,image
image_107.jpg,2(love),1(slightly),2(expressive),0(non-offensive),1,complementary,knowledge,sprinkle,text,complementary
image_108.jpg,1(happiness),2(moderately),2(expressive),0(non-offensive),1,complementary,me;conversation;Piranha Plant Knowledge,man;man;sign,text,image
image_109.jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),1,complementary,stop;liaison man,knowledge;cat,text,complementary
image_11.jpg,2(love),1(slightly),3(entertaining),0(non-offensive),1,complementary,cart,air,text,image
image_110.jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),1,complementary,knowledge,book,text,image
image_111.jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),1,complementary,knowledge;skills,book;book,text,image
image_112.jpg,2(love),1(slightly),5(other),0(non-offensive),1,text dominant,relax;energy,recharge;batteries,text,text
image_113.jpg,1(happiness),2(moderately),2(expressive),0(non-offensive),1,complementary,1:59AM;2AM;1AM,man;woman;woman,text,image
image_114.jpg,2(love),2(moderately),2(expressive),0(non-offensive),1,complementary,moon,dog,complementary,image
image_115.jpg,2(love),2(moderately),2(expressive),0(non-offensive),1,text dominant,money,time,text,text
image_116.jpg,1(happiness),2(moderately),2(expressive),0(non-offensive),1,text dominant,money,time,text,text
image_117.jpg,4(sorrow),2(moderately),2(expressive),0(non-offensive),1,text dominant,money,time,text,text
image_118.jpg,6(hate),2(moderately),4(offensive),1(slightly),1,text dominant,money;power,time;money,text,text
image_119.jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),1,complementary,money,time,text,image
image_12.jpg,4(sorrow),2(moderately),3(entertaining),0(non-offensive),1,image dominant,hat,slippers,image,image
image_120.jpg,2(love),1(slightly),2(expressive),0(non-offensive),1,text dominant,money,time,text,complementary
image_121.jpg,2(love),2(moderately),2(expressive),0(non-offensive),1,text dominant,money,time,complementary,complementary
image_122.jpg,3(anger),1(slightly),2(expressive),0(non-offensive),1,complementary,life;me,hand;Patrick Star,text,image
image_123.jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),1,complementary,citizen;politician says something,man;butterfly,text,image
image_124.jpg,3(anger),2(moderately),4(offensive),3(very),1,text dominant,rubbish,you,text,text
image_125.jpg,3(anger),1(slightly),4(offensive),3(very),1,text dominant,rubbish,you,text,text
image_126.jpg,3(anger),1(slightly),4(offensive),3(very),1,text dominant,rubbish,you,text,text
image_127.jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),1,complementary,rabbit,slippers,image,complementary
image_128.jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),1,complementary,me,rabbit,text,image
image_129.jpg,1(happiness),2(moderately),3(entertaining),0(non-offensive),1,complementary,rabbit,slippers,image,Í¼Ïñ
image_13.jpg,1(happiness),2(moderately),2(expressive),0(non-offensive),1,image dominant,bread,dog,image,image
image_130.jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),1,complementary,Tik-Tokers;MEMERS,wolf;rabbit,text,image
image_131.jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),1,complementary,hat,cake,text,image
image_132.jpg,1(happiness),2(moderately),3(entertaining),0(non-offensive),1,complementary,Bugs bunny memes;Tom memes,cat;rabbit,text,image
image_133.jpg,4(sorrow),2(moderately),2(expressive),0(non-offensive),1,complementary,some people;me,leopard;rabbit,text,image
image_134.jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),1,complementary,rabbit,snail,text,image
image_135.jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),1,image dominant,rabbit,cat,image,image
image_136.jpg,3(anger),2(moderately),2(expressive),0(non-offensive),1,complementary,little sisters;me,bird;woman,text,image
image_137.jpg,4(sorrow),2(moderately),2(expressive),0(non-offensive),1,complementary,Beach house;Me,man;woman,text,image
image_138.jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),1,complementary,unicorn,horse,text,image
image_139.jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),1,complementary,horse,shark,complementary,complementary
image_14.jpg,2(love),1(slightly),2(expressive),0(non-offensive),1,complementary,me,dog,text,image
image_140.jpg,3(anger),1(slightly),4(offensive),2(moderately),1,complementary,Republican,elephant,text,image
image_141.jpg,3(anger),1(slightly),4(offensive),3(very),1,complementary,democrat,donkey,text,image
image_142.jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),1,image dominant,elephant,strawberry,image,image
image_143.jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),1,complementary,elephant,strawberry,text,image
image_144.jpg,1(happiness),2(moderately),2(expressive),0(non-offensive),1,complementary,me,monkey,text,image
image_145.jpg,4(sorrow),2(moderately),2(expressive),0(non-offensive),1,complementary,me,monkey,text,image
image_146.jpg,5(fear),2(moderately),2(expressive),0(non-offensive),1,complementary,me;my friends,monkey;girl,text,image
image_147.jpg,2(love),1(slightly),3(entertaining),0(non-offensive),1,complementary,cloud,sheep,text,image
image_148.jpg,5(fear),1(slightly),2(expressive),0(non-offensive),1,complementary,sheep,lion,image,image
image_149.jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),1,complementary,wolf,sheep,text,image
image_15.jpg,6(hate),1(slightly),3(entertaining),0(non-offensive),1,complementary,you,dog,text,image
image_150.jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),1,complementary,sheep,dog,image,complementary
image_151.jpg,2(love),1(slightly),3(entertaining),0(non-offensive),1,complementary,sheep,cat,complementary,image
image_152.jpg,6(hate),1(slightly),4(offensive),1(slightly),1,complementary,ghost,sheep,text,image
image_153.jpg,4(sorrow),2(moderately),2(expressive),0(non-offensive),1,complementary,monday;job;me,man;door;man,text,image
image_154.jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),1,image dominant,sheep,cauliflower,image,image
